"%d unsuccessful two factor authentication attempts have been made for '%s' with a user id of '%d'.  Last detected authentication attempt was detected on '%s' at '%s UTC'.  A %d minute block has been set to the account.  The account in question and all other admins in the 'Administrator' role have been notified about this block.","%d intentos fallidos de autenticación de dos factores se han realizado para '%s' con una identificación de usuario de '%d'. El último intento de autenticación detectado se detectó en '%s' en '%s UTC'. Se ha configurado un bloque de %d minutos en la cuenta. La cuenta en cuestión y todos los demás administradores en la función 'Administrador' han recibido notificaciones sobre este bloque."
"%d unsuccessful two factor authentication attempts have been made to log into your account. If this was not you, please contact your system administrators immediately.  Additional emails have been sent to the administrators regarding this failed authentication attempt.  If this was you, you can attempt to authenticate your account again in %d minutes.","Se han realizado %d intentos fallidos de autenticación de dos factores para iniciar sesión en su cuenta. Si no fue usted, póngase en contacto con los administradores de su sistema de inmediato. Se han enviado correos electrónicos adicionales a los administradores con respecto a este intento de autenticación fallido. Si fue usted, puede intentar autenticar su cuenta nuevamente en %d minutos."
"6 Digit Pin","Pin de 6 dígitos"
"Account Setup","Configuracion de cuenta"
"Account blocked, failed two factor authentication","Cuenta bloqueada, autenticación fallida de dos factores"
"An account was blocked","Una cuenta fue bloqueada"
"Back","Espalda"
"Backup Code","Código de respaldo"
"Blocked %s with user id %d on ip address %s","%s bloqueados con ID de usuario %d en dirección IP %s"
"Complete Setup","Configuración completa"
"Continue","Continuar"
"Emails have been sent to all administrators regarding this failed attempt to authenticate. An additional email has been sent to the owner of the account.","Se han enviado correos electrónicos a todos los administradores con respecto a este intento fallido de autenticación. Se ha enviado un correo electrónico adicional al propietario de la cuenta."
"If you are the genuine owner of this account and you got blocked, it's okay! Just wait %s minutes and you can try to authenticate again. Please remember that this is for your own good, it's better to be safe than sorry.","Si eres el verdadero propietario de esta cuenta y te bloquearon, ¡está bien! Solo espere %s minutos y puede intentar autenticarse nuevamente. Recuerde que esto es por su propio bien, es mejor estar seguro que lamentar."
"In order to setup two-factor authentication for this account, download and install an authentication app.  We suggest %s which is available for both %s and %s.","Para configurar la autenticación de dos factores para esta cuenta, descargue e instale una aplicación de autenticación. Sugerimos %s, que está disponible tanto para %s como para %s."
"JetRails TwoFactor","JetRails TwoFactor"
"JetRails®","JetRails®"
"Open your authentication app and add a new account by scanning the QR code or entering in %s manually. Continue to the next step to verify setup.","Abra su aplicación de autenticación y agregue una nueva cuenta escaneando el código QR o ingresando %s manualmente. Continúe con el próximo paso para verificar la configuración."
"Remember for 7 days","Recuerde por 7 días"
"Reset","Reiniciar"
"Reset Two Factor Authentication","Restablecer la autenticación de dos factores"
"Step 1","Paso 1"
"Step 2","Paso 2"
"Step 3","Paso 3"
"Step 4","Etapa 4"
"The 8-digit codes below serve as backup codes.  If you lose access to your authentication device, you can still get into your account using these codes.  Please print out these codes and keep them in a safe location.  Each code can be utilized one time only.","Los siguientes códigos de 8 dígitos sirven como códigos de respaldo. Si pierde el acceso a su dispositivo de autenticación, puede acceder a su cuenta utilizando estos códigos. Imprima estos códigos y guárdelos en un lugar seguro. Cada código puede ser utilizado solo una vez."
"To confirm that you set up your authentication successfully, enter in the 6-digit time sensitive pin associated with your account.","Para confirmar que configura correctamente su autenticación, ingrese el pin de 6 dígitos sensible a la hora asociado a su cuenta."
"Two Factor Authentication","Autenticación de dos factores"
"Verification Pin","Pin de verificación"
"Verify","Verificar"
"Will be logged out and prompted to setup on next login","Se cerrará la sesión y se le pedirá que configure en el siguiente inicio de sesión"
"You failed to enter in a valid verification pin and/or backup code. The maximum number of failed attempts that is allowed is %s in a span of %s minutes.","No ingresaste un PIN de verificación válido o un código de copia de seguridad. La cantidad máxima de intentos fallidos que se permite es %s en un lapso de %s minutos."
